title,doi,pmid,score,relative_citation_ratio,weighted_sum_of_stars,evaluation,recom_date,author,classifications
The fifth adaptor protein complex.,https://doi.org/10.1371/journal.pbio.1001170,22022230,Score 27.9,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 4.99, Weighted sum of stars: 6.0,Good,10 Nov 2011,Hirst J et al.,New Finding
Zyxin links fat signaling to the hippo pathway.,https://doi.org/10.1371/journal.pbio.1000624,21666802,Score 9.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.83, Weighted sum of stars: 2.0,Very Good,08 Jan 2012,Rauskolb C et al.,Confirmation
A novel sperm-delivered toxin causes late-stage embryo lethality and transmission ratio distortion in C. elegans.,https://doi.org/10.1371/journal.pbio.1001115,21814493,Score 14.0,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.84, Weighted sum of stars: 3.0,Very Good,08 Aug 2011,Seidel HS et al.,New Finding
A blind circadian clock in cavefish reveals that opsins mediate peripheral clock photoreception.,https://doi.org/10.1371/journal.pbio.1001142,21909239,Score 27.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.75, Weighted sum of stars: 6.0,Exceptional,03 Oct 2011,Cavallari N et al.,New Finding
Zyxin links fat signaling to the hippo pathway.,https://doi.org/10.1371/journal.pbio.1000624,21666802,Score 9.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.83, Weighted sum of stars: 2.0,Very Good,08 Jan 2012,Rauskolb C et al.,New Finding
A role for myosin VI in the localization of axonal proteins.,https://doi.org/10.1371/journal.pbio.1001021,21390300,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.12, Weighted sum of stars: 1.0,Good,07 Aug 2011,Lewis TL et al.,New Finding
Metabolic regulation of mycobacterial growth and antibiotic sensitivity.,https://doi.org/10.1371/journal.pbio.1001065,21629732,Score 4.9,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 5.91, Weighted sum of stars: 1.0,Good,02 Aug 2011,Baek SH et al.,New Finding
Rac1-dependent collective cell migration is required for specification of the anterior-posterior body axis of the mouse.,https://doi.org/10.1371/journal.pbio.1000442,20689803,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.66, Weighted sum of stars: 1.0,Good,06 Jul 2011,Migeotte I et al.,New Finding
Pancreatic mesenchyme regulates epithelial organogenesis throughout development.,https://doi.org/10.1371/journal.pbio.1001143,21909240,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.31, Weighted sum of stars: 2.0,Very Good,11 Oct 2011,Landsman L et al.,New Finding
A high precision survey of the molecular dynamics of mammalian clathrin-mediated endocytosis.,https://doi.org/10.1371/journal.pbio.1000604,21445324,Score 28.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 12.58, Weighted sum of stars: 6.0,Good,18 Apr 2011,Taylor MJ et al.,Confirmation
A high precision survey of the molecular dynamics of mammalian clathrin-mediated endocytosis.,https://doi.org/10.1371/journal.pbio.1000604,21445324,Score 28.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 12.58, Weighted sum of stars: 6.0,Good,18 Apr 2011,Taylor MJ et al.,Controversial
A high precision survey of the molecular dynamics of mammalian clathrin-mediated endocytosis.,https://doi.org/10.1371/journal.pbio.1000604,21445324,Score 28.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 12.58, Weighted sum of stars: 6.0,Good,18 Apr 2011,Taylor MJ et al.,New Finding
Microtubules in bacteria: Ancient tubulins build a five-protofilament homolog of the eukaryotic cytoskeleton.,https://doi.org/10.1371/journal.pbio.1001213,22162949,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.15, Weighted sum of stars: 2.0,Very Good,03 Jan 2012,Pilhofer M et al.,New Finding
Rac1-dependent collective cell migration is required for specification of the anterior-posterior body axis of the mouse.,https://doi.org/10.1371/journal.pbio.1000442,20689803,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.66, Weighted sum of stars: 1.0,Good,06 Jul 2011,Migeotte I et al.,Technical Advance
Non-canonical NF-κB activation and abnormal B cell accumulation in mice expressing ubiquitin protein ligase-inactive c-IAP2.,https://doi.org/10.1371/journal.pbio.1000518,21048983,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.75, Weighted sum of stars: 1.0,Good,04 Jul 2011,Conze DB et al.,Controversial
A high precision survey of the molecular dynamics of mammalian clathrin-mediated endocytosis.,https://doi.org/10.1371/journal.pbio.1000604,21445324,Score 28.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 12.58, Weighted sum of stars: 6.0,Good,18 Apr 2011,Taylor MJ et al.,Technical Advance
How many species are there on Earth and in the ocean?,https://doi.org/10.1371/journal.pbio.1001127,21886479,Score 6.0,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 24.03, Weighted sum of stars: 1.0,Good,31 Aug 2011,Mora C et al.,Controversial
De novo genesis of enhancers in vertebrates.,https://doi.org/10.1371/journal.pbio.1001188,22069375,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.86, Weighted sum of stars: 1.0,Good,02 Jan 2012,"Eichenlaub MP, Ettwiller L",New Finding
Mouse PRDM9 DNA-binding specificity determines sites of histone H3 lysine 4 trimethylation for initiation of meiotic recombination.,https://doi.org/10.1371/journal.pbio.1001176,22028627,Score 4.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.77, Weighted sum of stars: 1.0,Good,12 Dec 2011,Grey C et al.,Confirmation
Mouse PRDM9 DNA-binding specificity determines sites of histone H3 lysine 4 trimethylation for initiation of meiotic recombination.,https://doi.org/10.1371/journal.pbio.1001176,22028627,Score 4.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.77, Weighted sum of stars: 1.0,Good,12 Dec 2011,Grey C et al.,New Finding
Non-canonical NF-κB activation and abnormal B cell accumulation in mice expressing ubiquitin protein ligase-inactive c-IAP2.,https://doi.org/10.1371/journal.pbio.1000518,21048983,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.75, Weighted sum of stars: 1.0,Good,04 Jul 2011,Conze DB et al.,New Finding
How many species are there on Earth and in the ocean?,https://doi.org/10.1371/journal.pbio.1001127,21886479,Score 6.0,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 24.03, Weighted sum of stars: 1.0,Good,31 Aug 2011,Mora C et al.,New Finding
Fatty acid desaturation links germ cell loss to longevity through NHR-80/HNF4 in C. elegans.,https://doi.org/10.1371/journal.pbio.1000599,21423649,Score 9.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.29, Weighted sum of stars: 2.0,Very Good,11 Sep 2011,Goudeau J et al.,Confirmation
Proteorhodopsin phototrophy promotes survival of marine bacteria during starvation.,https://doi.org/10.1371/journal.pbio.1000358,20436956,Score 4.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.86, Weighted sum of stars: 1.0,Good,12 Dec 2011,Gómez-Consarnau L et al.,Confirmation
The Sorcerer II Global Ocean Sampling expedition: northwest Atlantic through eastern tropical Pacific.,https://doi.org/10.1371/journal.pbio.0050077,17355176,Score 11.0,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 31.8, Weighted sum of stars: 2.0,Very Good,12 Dec 2011,Rusch DB et al.,New Finding
The Sorcerer II Global Ocean Sampling expedition: northwest Atlantic through eastern tropical Pacific.,https://doi.org/10.1371/journal.pbio.0050077,17355176,Score 11.0,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 31.8, Weighted sum of stars: 2.0,Very Good,12 Dec 2011,Rusch DB et al.,Technical Advance
The bacterial fimbrial tip acts as a mechanical force sensor.,https://doi.org/10.1371/journal.pbio.1000617,21572990,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.76, Weighted sum of stars: 2.0,Very Good,04 Jul 2011,Aprikian P et al.,New Finding
Fatty acid desaturation links germ cell loss to longevity through NHR-80/HNF4 in C. elegans.,https://doi.org/10.1371/journal.pbio.1000599,21423649,Score 9.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.29, Weighted sum of stars: 2.0,Very Good,11 Sep 2011,Goudeau J et al.,New Finding
A dual binding mode for RhoGTPases in plexin signalling.,https://doi.org/10.1371/journal.pbio.1001134,21912513,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.91, Weighted sum of stars: 2.0,Very Good,08 Sep 2011,Bell CH et al.,Controversial
A dual binding mode for RhoGTPases in plexin signalling.,https://doi.org/10.1371/journal.pbio.1001134,21912513,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.91, Weighted sum of stars: 2.0,Very Good,08 Sep 2011,Bell CH et al.,New Finding
Tsetse immune system maturation requires the presence of obligate symbionts in larvae.,https://doi.org/10.1371/journal.pbio.1000619,21655301,Score 14.0,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 4.04, Weighted sum of stars: 3.0,Very Good,23 Jun 2011,Weiss BL et al.,New Finding
Patterns and mechanisms of ancestral histone protein inheritance in budding yeast.,https://doi.org/10.1371/journal.pbio.1001075,21666805,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.16, Weighted sum of stars: 2.0,Very Good,16 Jun 2011,Radman-Livaja M et al.,New Finding
A dual binding mode for RhoGTPases in plexin signalling.,https://doi.org/10.1371/journal.pbio.1001134,21912513,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.91, Weighted sum of stars: 2.0,Very Good,08 Sep 2011,Bell CH et al.,Novel Drug Target
Patterns and mechanisms of ancestral histone protein inheritance in budding yeast.,https://doi.org/10.1371/journal.pbio.1001075,21666805,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.16, Weighted sum of stars: 2.0,Very Good,16 Jun 2011,Radman-Livaja M et al.,Technical Advance
N-terminal acetylation inhibits protein targeting to the endoplasmic reticulum.,https://doi.org/10.1371/journal.pbio.1001073,21655302,Score 4.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.61, Weighted sum of stars: 1.0,Good,08 Jun 2011,Forte GM et al.,New Finding
A user's guide to the encyclopedia of DNA elements (ENCODE).,https://doi.org/10.1371/journal.pbio.1001046,21526222,Score 10.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 24.59, Weighted sum of stars: 2.0,Very Good,26 May 2011,ENCODE Project Consortium,New Finding
A user's guide to the encyclopedia of DNA elements (ENCODE).,https://doi.org/10.1371/journal.pbio.1001046,21526222,Score 10.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 24.59, Weighted sum of stars: 2.0,Very Good,26 May 2011,ENCODE Project Consortium,Technical Advance
Sucrose utilization in budding yeast as a model for the origin of undifferentiated multicellularity.,https://doi.org/10.1371/journal.pbio.1001122,21857801,Score 9.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.63, Weighted sum of stars: 2.0,Good,17 Aug 2011,Koschwanez JH et al.,New Finding
Hyphal development in Candida albicans requires two temporally linked changes in promoter chromatin for initiation and maintenance.,https://doi.org/10.1371/journal.pbio.1001105,21811397,Score 18.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.66, Weighted sum of stars: 4.0,Very Good,21 Aug 2011,Lu Y et al.,New Finding
Retinoic acid functions as a key GABAergic differentiation signal in the basal ganglia.,https://doi.org/10.1371/journal.pbio.1000609,21532733,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.67, Weighted sum of stars: 1.0,Good,25 May 2011,Chatzi C et al.,Confirmation
Retinoic acid functions as a key GABAergic differentiation signal in the basal ganglia.,https://doi.org/10.1371/journal.pbio.1000609,21532733,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.67, Weighted sum of stars: 1.0,Good,25 May 2011,Chatzi C et al.,New Finding
Noncanonical compensation of zygotic X transcription in early Drosophila melanogaster development revealed through single-embryo RNA-seq.,https://doi.org/10.1371/journal.pbio.1000590,21346796,Score 14.0,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.97, Weighted sum of stars: 3.0,Very Good,23 Mar 2011,Lott SE et al.,New Finding
Clusters of temporal discordances reveal distinct embryonic patterning mechanisms in Drosophila and anopheles.,https://doi.org/10.1371/journal.pbio.1000584,21283609,Score 18.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.27, Weighted sum of stars: 4.0,Exceptional,15 Feb 2011,Papatsenko D et al.,Technical Advance
Global human footprint on the linkage between biodiversity and ecosystem functioning in reef fishes.,https://doi.org/10.1371/journal.pbio.1000606,21483714,Score 9.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 9.22, Weighted sum of stars: 2.0,Very Good,12 Apr 2011,Mora C et al.,Confirmation
Noncanonical compensation of zygotic X transcription in early Drosophila melanogaster development revealed through single-embryo RNA-seq.,https://doi.org/10.1371/journal.pbio.1000590,21346796,Score 14.0,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.97, Weighted sum of stars: 3.0,Very Good,23 Mar 2011,Lott SE et al.,Technical Advance
Nodal dependent differential localisation of dishevelled-2 demarcates regions of differing cell behaviour in the visceral endoderm.,https://doi.org/10.1371/journal.pbio.1001019,21364967,Score 13.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.82, Weighted sum of stars: 3.0,Very Good,19 Apr 2011,Trichas G et al.,New Finding
Global human footprint on the linkage between biodiversity and ecosystem functioning in reef fishes.,https://doi.org/10.1371/journal.pbio.1000606,21483714,Score 9.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 9.22, Weighted sum of stars: 2.0,Very Good,12 Apr 2011,Mora C et al.,New Finding
Connecting variability in global transcription rate to mitochondrial variability.,https://doi.org/10.1371/journal.pbio.1000560,21179497,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.56, Weighted sum of stars: 1.0,Good,13 Feb 2011,das Neves RP et al.,
Nodal dependent differential localisation of dishevelled-2 demarcates regions of differing cell behaviour in the visceral endoderm.,https://doi.org/10.1371/journal.pbio.1001019,21364967,Score 13.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.82, Weighted sum of stars: 3.0,Very Good,19 Apr 2011,Trichas G et al.,Technical Advance
Inferring the dynamics of diversification: a coalescent approach.,https://doi.org/10.1371/journal.pbio.1000493,20927410,Score 14.0,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.63, Weighted sum of stars: 3.0,Very Good,23 Nov 2010,Morlon H et al.,Confirmation
Inferring the dynamics of diversification: a coalescent approach.,https://doi.org/10.1371/journal.pbio.1000493,20927410,Score 14.0,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.63, Weighted sum of stars: 3.0,Very Good,23 Nov 2010,Morlon H et al.,Controversial
Inferring the dynamics of diversification: a coalescent approach.,https://doi.org/10.1371/journal.pbio.1000493,20927410,Score 14.0,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.63, Weighted sum of stars: 3.0,Very Good,23 Nov 2010,Morlon H et al.,New Finding
Inferring the dynamics of diversification: a coalescent approach.,https://doi.org/10.1371/journal.pbio.1000493,20927410,Score 14.0,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.63, Weighted sum of stars: 3.0,Very Good,23 Nov 2010,Morlon H et al.,Refutation
Inferring the dynamics of diversification: a coalescent approach.,https://doi.org/10.1371/journal.pbio.1000493,20927410,Score 14.0,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.63, Weighted sum of stars: 3.0,Very Good,23 Nov 2010,Morlon H et al.,Technical Advance
Pheromonal and behavioral cues trigger male-to-female aggression in Drosophila.,https://doi.org/10.1371/journal.pbio.1000541,21124886,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.86, Weighted sum of stars: 2.0,Very Good,11 Apr 2011,Fernández MP et al.,New Finding
A novel neural substrate for the transformation of olfactory inputs into motor output.,https://doi.org/10.1371/journal.pbio.1000567,21203583,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.68, Weighted sum of stars: 2.0,Good,01 Feb 2011,Derjean D et al.,
Speeding up microevolution: the effects of increasing temperature on selection and genetic variance in a wild bird population.,https://doi.org/10.1371/journal.pbio.1000585,21408101,Score 9.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.4, Weighted sum of stars: 2.0,Very Good,10 Apr 2011,Husby A et al.,New Finding
A c-di-GMP effector system controls cell adhesion by inside-out signaling and surface protein cleavage.,https://doi.org/10.1371/journal.pbio.1000587,21304920,Score 18.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 5.11, Weighted sum of stars: 4.0,Good,23 Mar 2011,Newell PD et al.,New Finding
Alignment between PIN1 polarity and microtubule orientation in the shoot apical meristem reveals a tight coupling between morphogenesis and auxin transport.,https://doi.org/10.1371/journal.pbio.1000516,20976043,Score 14.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 7.31, Weighted sum of stars: 3.0,Good,12 Dec 2010,Heisler MG et al.,
SecM-stalled ribosomes adopt an altered geometry at the peptidyl transferase center.,https://doi.org/10.1371/journal.pbio.1000581,21267063,Score 4.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.65, Weighted sum of stars: 1.0,Good,10 Feb 2011,Bhushan S et al.,
Structural basis for c-di-GMP-mediated inside-out signaling controlling periplasmic proteolysis.,https://doi.org/10.1371/journal.pbio.1000588,21304926,Score 4.9,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 4.44, Weighted sum of stars: 1.0,Good,15 May 2011,Navarro MV et al.,New Finding
Aneuploidy and improved growth are coincident but not causal in a yeast cancer model.,https://doi.org/10.1371/journal.pbio.1000161,19636358,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.3, Weighted sum of stars: 1.0,Good,09 Mar 2011,Li XC et al.,New Finding
Resolving difficult phylogenetic questions: why more sequences are not enough.,https://doi.org/10.1371/journal.pbio.1000602,21423652,Score 5.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 18.83, Weighted sum of stars: 1.0,Good,12 May 2011,Philippe H et al.,Good for Teaching
Enzymatic blockade of the ubiquitin-proteasome pathway.,https://doi.org/10.1371/journal.pbio.1000605,21468303,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.7, Weighted sum of stars: 2.0,Very Good,09 May 2011,Ernst R et al.,New Finding
Enzymatic blockade of the ubiquitin-proteasome pathway.,https://doi.org/10.1371/journal.pbio.1000605,21468303,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.7, Weighted sum of stars: 2.0,Very Good,09 May 2011,Ernst R et al.,Novel Drug Target
Identifying neural drivers with functional MRI: an electrophysiological validation.,https://doi.org/10.1371/journal.pbio.0060315,19108604,Score 9.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 9.16, Weighted sum of stars: 2.0,Very Good,06 Mar 2011,David O et al.,Technical Advance
Enzymatic blockade of the ubiquitin-proteasome pathway.,https://doi.org/10.1371/journal.pbio.1000605,21468303,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.7, Weighted sum of stars: 2.0,Very Good,09 May 2011,Ernst R et al.,Technical Advance
Co-evolution of transcriptional silencing proteins and the DNA elements specifying their assembly.,https://doi.org/10.1371/journal.pbio.1000550,21151344,Score 18.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.63, Weighted sum of stars: 4.0,Exceptional,06 Feb 2011,Zill OA et al.,Technical Advance
Expression in aneuploid Drosophila S2 cells.,https://doi.org/10.1371/journal.pbio.1000320,20186269,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.44, Weighted sum of stars: 2.0,Very Good,06 Mar 2011,Zhang Y et al.,
A novel mechanism of programmed cell death in bacteria by toxin-antitoxin systems corrupts peptidoglycan synthesis.,https://doi.org/10.1371/journal.pbio.1001033,21445328,Score 4.9,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 4.83, Weighted sum of stars: 1.0,Good,03 May 2011,Mutschler H et al.,New Finding
Development of axon-target specificity of ponto-cerebellar afferents.,https://doi.org/10.1371/journal.pbio.1001013,21346800,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.4, Weighted sum of stars: 1.0,Good,12 Apr 2011,Kalinovsky A et al.,New Finding
Emergence of noise-induced oscillations in the central circadian pacemaker.,https://doi.org/10.1371/journal.pbio.1000513,20967239,Score 9.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.38, Weighted sum of stars: 2.0,Good,14 Dec 2010,Ko CH et al.,
Evolutionary relationships of wild hominids recapitulated by gut microbial communities.,https://doi.org/10.1371/journal.pbio.1000546,21103409,Score 9.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 9.35, Weighted sum of stars: 2.0,Very Good,06 Mar 2011,Ochman H et al.,
Chromatin- and transcription-related factors repress transcription from within coding regions throughout the Saccharomyces cerevisiae genome.,https://doi.org/10.1371/journal.pbio.0060277,18998772,Score 9.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.53, Weighted sum of stars: 2.0,Good,07 Jan 2009,Cheung V et al.,New Finding
Prox1 regulates the notch1-mediated inhibition of neurogenesis.,https://doi.org/10.1371/journal.pbio.1000565,21203589,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.05, Weighted sum of stars: 1.0,Good,27 Feb 2011,Kaltezioti V et al.,
Live imaging of innate immune cell sensing of transformed cells in zebrafish larvae: parallels between tumor initiation and wound inflammation.,https://doi.org/10.1371/journal.pbio.1000562,21179501,Score 14.0,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.45, Weighted sum of stars: 3.0,Good,19 Jan 2011,Feng Y et al.,Technical Advance
Control of transcription by cell size.,https://doi.org/10.1371/journal.pbio.1000523,21072241,Score 18.5,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.65, Weighted sum of stars: 4.0,Good,10 Nov 2010,Wu CY et al.,New Finding
The honey bee epigenomes: differential methylation of brain DNA in queens and workers.,https://doi.org/10.1371/journal.pbio.1000506,21072239,Score 9.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 10.26, Weighted sum of stars: 2.0,Very Good,28 Dec 2010,Lyko F et al.,
A polarised population of dynamic microtubules mediates homeostatic length control in animal cells.,https://doi.org/10.1371/journal.pbio.1000542,21103410,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.04, Weighted sum of stars: 2.0,Good,09 Dec 2010,Picone R et al.,
Genetic control of organ shape and tissue polarity.,https://doi.org/10.1371/journal.pbio.1000537,21085690,Score 36.9,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.77, Weighted sum of stars: 8.0,Exceptional,17 Jan 2011,Green AA et al.,Technical Advance
Broca's region: novel organizational principles and multiple receptor mapping.,https://doi.org/10.1371/journal.pbio.1000489,20877713,Score 14.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 6.71, Weighted sum of stars: 3.0,Very Good,03 Nov 2010,Amunts K et al.,
Quiescent fibroblasts exhibit high metabolic activity.,https://doi.org/10.1371/journal.pbio.1000514,21049082,Score 18.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 6.17, Weighted sum of stars: 4.0,Very Good,17 Nov 2010,Lemons JM et al.,Technical Advance
BIN1 localizes the L-type calcium channel to cardiac T-tubules.,https://doi.org/10.1371/journal.pbio.1000312,20169111,Score 14.0,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.85, Weighted sum of stars: 3.0,Good,07 Mar 2010,Hong TT et al.,New Finding
Subtle alterations in PCNA-partner interactions severely impair DNA replication and repair.,https://doi.org/10.1371/journal.pbio.1000507,20967232,Score 9.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.63, Weighted sum of stars: 2.0,Very Good,02 Nov 2010,Fridman Y et al.,
"Most ""dark matter"" transcripts are associated with known genes.",https://doi.org/10.1371/journal.pbio.1000371,20502517,Score 41.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 6.44, Weighted sum of stars: 9.0,Exceptional,31 May 2010,van Bakel H et al.,Controversial
"Most ""dark matter"" transcripts are associated with known genes.",https://doi.org/10.1371/journal.pbio.1000371,20502517,Score 41.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 6.44, Weighted sum of stars: 9.0,Exceptional,31 May 2010,van Bakel H et al.,New Finding
"Most ""dark matter"" transcripts are associated with known genes.",https://doi.org/10.1371/journal.pbio.1000371,20502517,Score 41.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 6.44, Weighted sum of stars: 9.0,Exceptional,31 May 2010,van Bakel H et al.,Refutation
"Most ""dark matter"" transcripts are associated with known genes.",https://doi.org/10.1371/journal.pbio.1000371,20502517,Score 41.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 6.44, Weighted sum of stars: 9.0,Exceptional,31 May 2010,van Bakel H et al.,Technical Advance
